Category,Item_Name,UOM
Dry Fruits (KG's),Almond USA,Kgs
Oil (Ltr),Amul Ghee 1 liter,Ltr
Disposables (PCs),Apron,Pcs
Spices (KG's),Bay Leaves (Tej Patta),Kgs
Disposables (PCs),Beard Net,Pcs
Spices (KG's),Black Elachi,Kgs
Spices (KG's),Black Peper Powder,Kgs
Spices (KG's),Black Peper Whole,Kgs
Dry Fruits (KG's),Broken Cashew,Kgs
Spices (KG's),Cardamom Powder,Kgs
Spices (KG's),Cardimon,Kgs
Fresh Vegitables (KG's),Carrot,Kgs
Fresh Vegitables (KG's),Cauliflower,Kgs
Flour Products (KG's),Chakki Atta,Kgs
Spices (KG's),Cinamon,Kgs
Spices (KG's),Cloves,Kgs
Spices (KG's),Coconut Milk Powder,Kgs
Fresh Vegitables (KG's),Cooked Barista,Kgs
Spices (KG's),Coreiander Powder,Kgs
Spices (KG's),Coreiander Whole,Kgs
Dairy (Ltr),Cubboos (Khabus),Pcs
Spices (KG's),Cumin Powder,Kgs
Spices (KG's),Cumin Seeds,Kgs
Fresh Vegitables (KG's),Dhanya Leaves (Kothmir),Kgs
Disposables (PCs),Disposable Beard Cover White,Bag
Disposables (PCs),Disposable Clip Cap,Box
Disposables (PCs),Disposable PE Apron,Box
Disposables (PCs),Disposable PE Gloves,Box
Disposables (PCs),Disposible glass,Box
Dairy (Ltr),Egg,Pkt
Disposables (PCs),Face Mask,Box
Fresh Vegitables (KG's),Fatous Salad 250 Gms,Pcs
Spices (KG's),Fenugreek Seed,Kgs
Flour Products (KG's),Flour,Kgs
Spices (KG's),Fried Onions,Kgs
Fresh Vegitables (KG's),Frozen green peas ,Kgs
Fresh Vegitables (KG's),Garlic Peeled,Kgs
Kitchen Utensil (PC's),Gas Boiling Pan,Pcs
Dry Fruits (KG's),Gas Burner,Pcs
Fresh Vegitables (KG's),Ginger,Kgs
Flour Products (KG's),Gram Flour,Kgs
Spices (KG's),Gund,Kgs
Disposables (PCs),Hairnet,Pcs
Disposables (PCs),Hand Gloves,Box
Dairy (Pcs),Ice Cream,Pcs
Dry Fruits (KG's),Irani Raisin Golden,Kgs
Dry Fruits (KG's),Jaggery,Kgs
Fresh Vegitables (KG's),Kari Patta,Kgs
Spices (KG's),Kashmiri Chilli Powder,Kgs
Disposables (PCs),Knife,Pcs
Dairy (Ltr),Laban,Ltr
Kitchen Utensil (PC's),Lighter,Pcs
Disposables (PCs),Mask,Box
Pulses (KG's),Masoor Dal,Kgs
Pulses (KG's),Masoor Black Whole,Kgs
Meat Products  (KG's),Meat (Kalegi & Gurda),Kgs
Dairy (Ltr),Milk,Ltr
Dairy (Ltr),Milk Powder,Kgs
Dairy (Ltr),Milk UHT,Ltr
Pulses (KG's),Moong Dal,Kgs
Oil (Ltr),Cooking Oil,Ltr
Fresh Vegitables (KG's),Onion,Kgs
Fruits (Pc's),Pineapple,Pcs
Dry Fruits (KG's),Pishtachio plain roasted 250,Kgs
Dry Fruits (KG's),Pistachio Kernel Slices,Kgs
Disposables (PCs),Plastic Container,Box
Fresh Vegitables (KG's),Pokra Chilly,Kgs
Fresh Vegitables (KG's),Potato,Kgs
Sugar (KG's),Pure granulated sugar 5 KG,Box
Dairy (Ltr),Rainbow Milk,Ltr
Spices (KG's),Red Chilly Powder,Kgs
Spices (KG's),Red Chilly Whole,Kgs
Rice (KG's),Rice,Kgs
Spices (KG's),Sago Seeds,Kgs
Spices (KG's),Salt,Kgs
Flour Products (KG's),Semolina (Suji),Kgs
Flour Products (KG's),Semolina (Suji) Roasted ,Kgs
Spices (KG's),Shan Tandoori Masala 1 KG,Kgs
Disposables (PCs),Soup Spoon Malemine Assorted,Pcs
Sugar (KG's),Sugar,Kgs
Spices (KG's),Tamarind (Imli),Kgs
Loose Tea (KG's),Tea,Kgs
Tea bags (boxes),Tea kenya,Box
Dairy (Ltr),Toast,Pcs
Fresh Vegitables (KG's),Tomatoes,Kgs
Pulses (KG's),Toor Dal,Kgs
Spices (KG's),Tumeric Powder,Kgs
Dry Fruits (KG's),USA Sliced Almond,Kgs
Dairy (Ltr),Vermicilli SEV,Kgs
Water (Ltr),Water 24 x 500 ML,Box
Water (Ltr),Water 6 x 1.5 L,Box
Spices (KG's),White Pepper Powder,Kgs
Fresh Vegitables (KG's),White Pumkin (Loki),Kgs
Dairy (Ltr),Yogurt,Kgs
Disposables (PCs),Salt for Thaal,Pcs
Fresh Vegitables (KG's),Garlic Whole,Kgs
Spices (KG's),Achaar ,Kgs
Meat Products  (KG's),Fresh Meat,Kgs
Dairy (Pcs),Butter Salted - 500 Gms,Pcs
Fresh Vegitables (KG's),Drumstic (Singh),Kgs
Fresh Vegitables (KG's),Curry Leaves,Kgs
Fresh Vegitables (KG's),Green Chillies,Kgs
Dairy (Pcs),Fesh Cream (Safa),Pcs
Flour Products (KG's),Besan,Kgs
Spices (KG's),Garam Masala,Kgs
Fresh Vegitables (KG's),Green Beans (Phali),Kgs
Spices (KG's),Mustard Seed (Rai),Kgs
Pulses (KG's),Black Chick Peas (Chana),Kgs
Pulses (KG's),Chana Dal,Kgs
Spices (KG's),Star Ani Seed,Kgs
Dry Fruits (KG's),Cashew Full Nut (Kaju),Kgs
Dry Fruits (KG's),Peanut (Mungfali),Kgs
Safety (Pcs),Jackets,Pcs
Safety (Pcs),Sash,Pcs
Safety (Pcs),Sprayer Bottle,Pcs
Safety (Pcs),Bucket,Pcs
Fruits (Pc's),Cocunut ,Pcs
Fresh Vegitables (KG's),Molley (Redish),Pcs
Flour Products (KG's),Hummus,Pkt
Fruits (Pc's),Apple,Pkt
Safety (Pcs),Masking Tape,Pcs
Kitchen Utensil (PC's),EcoBurners Fuel,Box
Kitchen Utensil (PC's),Cutting Board,Pcs
Kitchen Utensil (PC's),Peeler,Pcs
Fresh Vegitables (KG's),Salad,Pkt
Jucie 1Ltr,Juice 1Ltr,Bottle
Dry Fruits (KG's),Sesame Seeds (TIL),Kgs
Dry Fruits (KG's),Chickpease,Kgs
Kitchen Utensil (PC's),DRUM ,Pcs
Kitchen Utensil (PC's),TROLLY,Pcs
Disposables (PCs),TISSUE,Pkt
Spices (KG's),Kashmiri Chilli Whole,Kgs
Safety (Pcs),Hygiene Testing Kit,Pcs
Disposables (PCs),Cotton Rags,Pkt
Disposables (PCs),Malmal Cloth,Pkt
Disposables (PCs),Garbage Bags,Pkt
Spices (KG's),Bombay Biryani Masala,Kgs
Fresh Vegitables (KG's),Capsicum ,Kgs
Fruits (Bags),Orange,Bag
Dairy (Pcs),Chesee ,Kgs
Ice Pack,Ice Cubes,Pkt
Juice Powder,Tang Juice Powder,Kgs
Dairy (Pcs),Bread ,Pcs
Dairy (Pcs),Sandwich,Pcs
Dairy (Pcs),Cooked Paratha,Pkt
Disposables (PCs),Disposable Plate,Box
Disposables (PCs),Dispolsable Bowl,Box
Fresh Vegitables (KG's),Popsa Mircha (Green Chilly),Kgs
Cleaning Materials,Broom,Pcs
Cleaning Materials,Mop Cotton,Pcs
Cleaning Materials,Wiper,Pcs
Cleaning Materials,Dustpan Set,Pcs
Spices (KG's),Pulav Masala,Kgs
Spices (KG's),Karahi Masala,Kgs
Pulses (KG's),Fennel Seeds (Sof),Kgs
Sweets,Backlawa Pistachio,Pcs
Pulses (KG's),Hareesh,Kgs
Fresh Vegitables (KG's),Baby Corn,Pkt
Meat Products  (KG's),Paya (Meat),Bag
Dairy (Ltr),KDD Thick Cream (250mlEach),Pcs
Dairy (Pcs),Laban Bottle,Pcs
Pulses (KG's),Roasted Chana (Chickpeas),Kgs
Fruits (Pc's),Banana,Pcs
Fruits (Pcs),Green Grapes Seedless,Pcs
Spices (KG's),Ginger Powder,Kgs
Fresh Vegitables (KG's),Lemon,Kgs
Fresh Vegitables (KG's),Mint (Pudina),Kgs
Spices (KG's),Vinegar,Ltr
Dairy (Pcs),Amul Frozen Paneer Diced 1kg,Kgs
Fresh Vegitables (KG's),olive ,Kgs
Spices (KG's),safron ,Kgs
Spices (KG's),jeera,Kgs
Spices (KG's),shan sabzi masala,Pkt
Spices (KG's),shan nihari masala,Kgs
Jucie 1Ltr,lemon water ,Ltr
Salad,pasta macroni,Kgs
Fresh Vegitables (KG's),Palak,Kgs
Spices (KG's),Black Zeera,Kgs
Spices (KG's),shahjeera,Kgs
Kitchen Utensil (PC's),Long Neck Lighter,Pcs
Fresh Vegitables (KG's),Red Capsicum,Kgs
Fresh Vegitables (KG's),Yellow Capsicum,Kgs
Fresh Vegitables (KG's),Broccoli,Kgs
Fruits (Pcs),Pears,Pcs
